Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.91135270171047,0.961410429865213,1.89038250262375,3.80855105859863,1.52940642590655,1.37501456255503,1.38777436884509,0.767028125417284,0.928518352933737,1.1537507513972,1.2729654376688,
Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.088055066680815,0.133565154913407,0.031396693213208,0.057850522174201,0.126666076194833,0.111315175517248,0.169107796373584,0.26378028204289,0.179772348447653,0.194613501049083,0.196053479542137,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2892621508562,45.4601735284312,46.7327373348276,47.0928240226506,46.7916483788858,47.6007971557276,47.4707689483552,40.3961836829001,40.1258036495687,38.5675459213518,38.142242192814,
Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30620487111473,0.155806325166029,0.262140501480563,0.302568289352078,0.193664182301755,0.314145223424165,0.467337991523335,0.454420594117198,0.319143908958421,0.347348022422492,0.361638501642404,
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72997003469219,1.69639503534407,2.55205959905539,4.87413854305245,2.95185642076509,2.40856142432626,2.55609502536741,2.15268713918261,2.19221297884342,2.65512706433699,2.65505524066031,
Merchandise exports to high-income economies (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.4347205942897,52.8324111370044,50.6956647876501,48.0175165703866,50.2335862993084,49.988191777707,49.9657411172102,57.4442871652784,57.6694144997587,58.7755998396581,59.2022933134511,
Merchandise exports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523362000,,6428000000,8824701000,10972082000,8345076000,9794516000,11779478000,11229000000,14614400000,14845200000,13378900000,14882300000,16940900000
Merchandise exports to economies in the Arab World (% of total merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.960224954005693,1.05943325118886,1.85017353634396,3.73422587312712,1.39459546369099,1.11199918916189,1.36744444507567,0.836520456150436,1.04216299959249,1.7432355159258,2.45690558223565,
Ores and metals exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.77940364846476,,,,14.839614196365,14.2553696423577,10.4347682510546,12.6061409532198,15.5916104456047,14.1530589793912,12.147882359447,,10.8968524632872,9.20219714313351,11.2944829162076,10.2945597528689,,,,,,,,,,
Manufactures exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0993187987891,,,,49.0446013977276,61.216776950253,53.4560959526852,58.7971825306833,61.4151113581731,62.7258285634736,57.3023632115673,,61.7135026396634,64.1548257140515,63.6827918881635,65.9336318527895,,,,,,,,,,
Insurance and financial services (% of commercial service exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78000071835098,1.66051900347683,1.39427031322341,1.74427126600336,1.70444579257106,1.62160540240904,1.3930692255008,1.53796208783347,1.77123335505372,1.00274388884661,0.988333258352167
ICT goods exports (% of total goods exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2766098953,0.5404161811,0.6109411617,,0.6853298208,0.546507268,0.7621656363,0.8865736477,2.0401458605,2.389883488,1.6255034681,1.4150446812,2.1347517921,1.4972182223,1.3940892299,1.2103299295,1.283516702,
Fuel exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82902436651589,,,,2.12200808262573,1.95727599776042,2.73035224557089,2.38372375310051,0.255219813841744,2.63905877065734,3.40802673811775,,2.40451085264827,3.65981095135982,3.50689025126194,2.62105665377349,,,,,,,,,,
Food exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9372670017904,,,,28.1777714448501,16.032028609696,14.0556563107634,21.6165969724093,16.9745429976856,16.4165718936562,23.1360386711746,,20.6210750532249,19.7514868691404,19.035529636306,18.6105131134643,,,,,,,,,,
Agricultural raw materials exports (% of merchandise exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14341219304711,,,,3.97264324685007,4.97752330258107,3.973841944946,4.57665076830087,5.73733206431052,4.05725475153352,3.99984407924438,,3.97954826020725,2.9716867083457,2.30930135778607,2.04147178750399,,,,,,,,,,
Export unit value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.8709126,165.4462971,177.9773332,200.9305775,195.9201661,191.071344,189.196447,173.5730758,168.659186,
Export volume index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0115145,292.7439761,319.3985996,340.2473375,332.641679,443.8053527,455.3377065,447.3565927,511.0732406,
Medium and high-tech exports (% manufactured exports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.666615551442,35.666615551442,35.666615551442,35.666615551442,35.666615551442,31.2078600949436,31.2078600949436,28.3811823874407,28.6823982405043,29.3306912189974,28.2797503464237,25.7416759727893,25.1437769987757,25.1437769987757,27.2787599726009,25.2455907312711,25.9582401622577,28.8356088033951,32.2334611520403,33.3671754659418,32.8172073065823,33.7786967162435,41.3627556627892,48.5884182040318,47.0904007989931,46.5444249831391,,
Net barter terms of trade index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.031413,105.6520192,105.5874986,104.411673,103.3705533,102.8195515,102.977287,107.0553689,109.0135214,
Travel services (% of commercial service imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.3220902533355,29.3336803810936,28.0024973130512,27.363953903922,28.0618972880067,27.3609441679373,27.4412139667667,26.9554896601703,28.3505922953311,30.0199460262322,28.7002409346856
Transport services (% of commercial service imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3937303601951,30.1415655047719,27.295602473261,28.5442568793363,27.6468885478451,27.5700743239766,27.460835645913,27.1573402911052,27.466926565613,26.624275487498,26.4144430908342
Commercial service imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436052907.8355,4265672895.5198,3426800437.98259,3485141557.01958,3938230785.67611,3768474578.92109,4070043669.5343,4372742252.78141,3888248248.34057,4003577999.80558,4809664617.39243
"Computer, communications and other services (% of commercial service imports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.5068893728589,37.2355130775307,39.9337755713164,41.0091320344021,40.5562827031154,41.8235040529297,41.9885558877551,42.2289865444512,40.5182906074472,40.9579933854679,42.050535629642
Import value index (2000 = 100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.6453786,432.4288063,450.9433845,535.2171382,509.9674212,553.7857451,555.3377526,490.7079224,518.2137429,
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1348674549924,32.7859925633921,34.3984709397704,30.0367502876916,33.0361440387964,33.9021583793274,31.9004705897361,29.4996589183357,27.9080312083334,26.7283037552821,24.4520751213279,
Merchandise imports by the reporting economy (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13022844059,18553180805,22873591061,16051679512,16733936332,19855157597,18877584696,20561213734,20454008473,18168602787,19306170493,
"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33142552805254,0.041593897462155,0.013054587677277,0.01326861153942,0.022121316387006,0.011916752553792,0.008691117144598,0.021577340021828,0.030505218613928,0.022150855776756,0.346954343039117,
"Smoking prevalence, females (% of adults)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,,39.9,,,,,38.7,38.7,38.4,38.2,38.2,37.8,37.7,
"Smoking prevalence, total (ages 15+)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7,,,,,45.3,,,,,42.1,41.7,40.9,40.4,40,39.4,38.9,
Prevalence of anemia among pregnant women (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,35.7,35,34.5,34,33.5,33,32.5,32,31.6,31.1,30.7,30.3,30,29.7,29.4,29,28.7,28.4,28.1,27.9,27.8,27.8,27.9,27.9,28.1,28.4,
Lifetime risk of maternal death (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029157316327973,0.030052737839333,0.029779034633207,0.030958249195181,0.030614531890629,0.028351027460697,0.029783665878527,0.030244344197075,0.031033384152791,0.031969334985483,0.030513751396223,0.029764357305903,0.027981785440121,0.026777995103637,0.02545930157816,0.024535680312524,0.023628837532381,0.022271282182484,0.023504090356153,0.023651476928176,0.023905836989191,0.024328643621157,0.024871598382391,0.025393438597483,0.025712601195255,0.02596213572829,,
Lifetime risk of maternal death (1 in: rate varies by country),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3300,3400,3200,3300,3500,3400,3300,3200,3100,3300,3400,3600,3700,3900,4100,4200,4500,4300,4200,4200,4100,4000,3900,3900,3900,,
Number of maternal deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,21,22,22,20,21,21,22,22,20,20,18,17,16,15,15,14,14,14,15,15,15,15,15,15,,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use of insecticide-treated bed nets (% of under-5 population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incidence of malaria (per 1,000 population at risk)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Specialist surgical workforce (per 100,000 population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.02,,72.55,,,
"Physicians (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99,2.035,,2.292,2.463,2.484,2.484,2.489,2.463,,,
"Nurses and midwives (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,4.43,,,5.305,5.382,5.357,5.376,5.333,4.719,,
"Community health workers (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hospital beds (per 1,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,5.4,5.4,,5.4,,,,,,,,
"Immunization, measles (% of children ages 12-23 months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,85,81,86,90,92,88,84,89,90,92,87,89,96,88,95,92,95,95,93,87,92,86,86,82,86
"Immunization, DPT (% of children ages 12-23 months)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,85,85,89,91,94,93,92,95,93,95,89,88,98,92,94,95,95,91,94,91,95,93,95,92,95
"Immunization, HepB3 (% of one-year-old children)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,65,93,99,93,93,89,94,97,91,92,94,91,93
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incidence of HIV (% of uninfected population ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200
Children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15+) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,100,100,100,100,100,100,100,100,100,100,100,200,200,200,200,200,200,200,200,200,200,200,200,200
Antiretroviral therapy coverage (% of people living with HIV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,37,47,56,54,53,53,52,53,53,53,54,55,57,61,64
"Prevalence of HIV, male (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Prevalence of HIV, female (% ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Children (0-14) living with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People using safely managed drinking water services (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.4271113277321,76.495920732621,76.5647008629421,76.6334517186954,76.701859775488,77.8345662853094,78.9455254681219,80.0339372700714,81.0490548337519,82.0637598735949,83.0780558558777,84.0919464590109,85.1054244746164,86.1185573482018,87.1313440573213,88.143787246968,,
"People using safely managed drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People using safely managed drinking water services, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People using at least basic drinking water services (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.8179457083458,91.7954775797711,91.773016619875,91.7505628286575,91.7281311894412,91.2982911109537,90.8646284156404,90.4271454463295,90.1053094735961,90.0850975174511,90.0648874070552,90.0446363901828,90.0244299901192,90.0034992883307,89.9818879410833,91.1824531642154,,
"People using at least basic drinking water services, urban (% of urban population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.1140420782613,91.0962263156077,91.0784105529541,91.0605947903005,91.042779027647,90.2777681998849,89.5130498600175,88.7486240080449,88.1836256661712,88.1663558809211,88.149086095671,88.1318163104209,88.1145465251707,88.0972767399206,88.0800069546705,88.0627371694204,,
"People using at least basic drinking water services, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.6177241044182,92.5985709017271,92.579417699036,92.560264496345,92.5411112936539,92.5219580909629,92.5028048882718,92.4836516855807,92.4644984828897,92.4453452801986,92.4261920775075,92.4070388748165,92.3878856721254,92.3687324694343,92.3495792667433,95.0816945676587,,
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.1,,,,25.1,,,
"Mortality rate, neonatal (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,23.6,23.2,22.3,20.8,19,17.3,16.1,15.1,14.2,13.3,12.1,10.7,9.5,8.6,8.1,7.7,7.4,7.1,6.6,6,5.5,5.2,5.1,5,4.9,4.8,4.7,4.5,4.4,4.2,4,3.8,3.7
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,,,,,26.1,,,,,22.5,,,,,20.1,19.1,
"Mortality rate, under-5, male (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,,,,,,,,,,14,,,,,,,,,,8.4,,,,,6.9,,6.2
"Mortality rate, under-5, female (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,,,,,,,,,11.2,,,,,,,,,,6.8,,,,,5.7,,5.2
"Mortality rate, under-5 (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,40.2,39,37.9,36.4,33.9,30.9,28.2,26.1,24.5,23.1,21.6,19.6,17.4,15.4,14,13.2,12.6,12.1,11.5,10.6,9.7,8.9,8.4,8.1,7.9,7.8,7.6,7.4,7.1,6.9,6.6,6.3,6,5.7
"Prevalence of HIV, total (% of population ages 15-49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Women's share of population ages 15+ living with HIV (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,23.7,24.2,24.6,25,25.3,25.7,26,26.4,26.8,27.3,27.7,28.3,28.8,29.2,29.5,29.7,29.9,30.1,30.2,30.3,30.5,30.6,30.7,30.7,30.8,30.9,30.9
"Probability of dying at age 5-14 years (per 1,000 children age 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,2.4,,,,,,,,,,1.5,,,,,1.3,,1.2
Number of neonatal deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,3553,3374,3088,2764,2470,2242,2060,1907,1751,1568,1365,1187,1060,973,911,856,795,719,641,578,536,508,489,476,463,449,433,416,398,378,359,339
"Cause of death, by non-communicable diseases (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,,,,,,,,,,95,,,,,94.3,94.6,
Number of under-five deaths,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4537,4063,3691,3392,3134,2875,2570,2233,1943,1739,1604,1505,1417,1315,1186,1053,946,874,827,794,769,742,713,683,652,623,592,561,532
"Cause of death, by injury (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,3.3,,,,,3.1,3,
Number of infant deaths,,,,,,,,,,,,,,,,,,,,,,,,,,5182,4984,4728,4339,3888,3483,3160,2907,2688,2468,2202,1923,1675,1497,1385,1296,1217,1130,1017,909,815,753,712,684,666,642,620,591,572,544,517,490,463
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,1.7,,,,,2.6,2.4,
Number of deaths ages 5-14 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,324,,,,,,,,,,157,,,,,127,,115
"Condom use, population ages 15-24, male (% of males ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Condom use, population ages 15-24, female (% of females ages 15-24)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prevalence of anemia among non-pregnant women (% of women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,30.9,29.8,28.8,28,27.3,26.6,26.1,25.6,25.3,25.1,25,24.9,24.9,24.9,24.9,24.8,24.7,24.5,24.4,24.4,24.5,24.8,25.2,25.7,26.4,27.2,
Prevalence of anemia among children (% of children under 5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,35.2,33.8,32.6,31.6,30.7,29.9,29.3,28.8,28.4,28,27.8,27.6,27.4,27.2,26.9,26.6,26.3,25.9,25.5,25.2,25,25,25.1,25.4,25.8,26.4,
Prevalence of anemia among women of reproductive age (% of women ages 15-49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,31.1,30,29,28.2,27.5,26.8,26.3,25.8,25.5,25.3,25.1,25.1,25.1,25.1,25,24.9,24.8,24.6,24.5,24.5,24.6,24.9,25.3,25.8,26.4,27.2,
"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,
Women who believe a husband is justified in beating his wife when she refuses sex with him (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,
Women who believe a husband is justified in beating his wife (any of five reasons) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,,,,,,,,3.8,,,
